pred_window,train_window,mean_erro_eucl_mm,RMSE_mm,MAE_X,MAE_Y,train_time_ms,test_time_ms
10,10,11.558249780518963,57.653319727322334,0.6948197678707498,0.6327278507236488,7.591962814331055,0.12159347534179688
10,15,16.442678088781154,90.41381455814158,0.76488506685063,0.5197407551507867,9.368896484375,0.1207590103149414
10,30,4.165677228428256,15.132596604262716,0.09598774912793698,0.0708841636254917,17.6849365234375,0.21958351135253906
10,60,1.5053460878698715,2.2304694944507375,0.016095922591354884,0.015124991989360194,24.311065673828125,0.22602081298828125
15,10,10.80404812461048,47.109344581590975,0.5063987056982698,0.6850824624671489,12.348294258117676,0.14328956604003906
15,15,9.106280112011973,39.40535442262235,0.36398030507852946,0.3767272511549601,15.563011169433594,0.1690387725830078
15,30,7.740999130596748,38.363613426631154,0.08882621122770076,0.20260681793611476,26.433706283569336,0.22935867309570312
15,60,1.628453295418186,2.4588323904205085,0.017599698588360024,0.015899595195606492,74.20611381530762,0.31256675720214844
20,10,12.134416638478196,45.64060698919522,0.7397658589810219,0.6366954608511401,25.1467227935791,0.240325927734375
20,15,6.408180315200165,19.742555545272428,0.24928520397202247,0.24767558427899541,29.38055992126465,0.26798248291015625
20,30,7.244419011145086,30.45370175713904,0.13636753574496663,0.15485188353979348,47.673821449279785,0.3145933151245117
20,60,2.2444576270129906,3.984086845016016,0.02336983889274177,0.022759388645136366,84.43760871887207,0.3445148468017578
25,10,23.531389997168397,122.17046729410178,1.4976458126425767,1.2087597120885305,34.761905670166016,0.2512931823730469
25,15,17.602332888494868,90.1475616815673,0.7164099886918178,0.6721871356678888,39.88528251647949,0.2771615982055664
25,30,6.877661272101056,27.204141092718103,0.13293357458768548,0.14003442680955827,55.61935901641846,0.324249267578125
25,60,2.5259485090781264,8.29411155733711,0.027799189718443185,0.02451302045284802,101.96375846862793,0.32019615173339844
30,10,35.58791691004343,204.17586465006914,1.8130314478695004,2.0863553880428793,49.34406280517578,0.2925395965576172
30,15,34.590985257327446,305.4762688787659,1.1922039660043648,1.5431783591032924,55.39071559906006,0.3123283386230469
30,30,7.61832031397565,34.712232239877416,0.10918535834935779,0.19007916018067722,74.81050491333008,0.3304481506347656
30,60,3.8202897300360217,11.85840983702994,0.0427651404906037,0.03548282418956266,131.9829225540161,0.3380775451660156
